threshold,f1,precision,recall,predicted_positives
0.058,0.1111111111111111,0.06666666666666667,0.3333333333333333,15
0.059000000000000004,0.1111111111111111,0.06666666666666667,0.3333333333333333,15
0.060000000000000005,0.1111111111111111,0.06666666666666667,0.3333333333333333,15
0.061,0.1111111111111111,0.06666666666666667,0.3333333333333333,15
0.062,0.1111111111111111,0.06666666666666667,0.3333333333333333,15
0.063,0.1111111111111111,0.06666666666666667,0.3333333333333333,15
0.064,0.1111111111111111,0.06666666666666667,0.3333333333333333,15
0.065,0.11764705882352941,0.07142857142857142,0.3333333333333333,14
0.066,0.11764705882352941,0.07142857142857142,0.3333333333333333,14
0.067,0.11764705882352941,0.07142857142857142,0.3333333333333333,14
0.068,0.11764705882352941,0.07142857142857142,0.3333333333333333,14
0.069,0.11764705882352941,0.07142857142857142,0.3333333333333333,14
0.07,0.11764705882352941,0.07142857142857142,0.3333333333333333,14
0.07100000000000001,0.11764705882352941,0.07142857142857142,0.3333333333333333,14
0.07200000000000001,0.11764705882352941,0.07142857142857142,0.3333333333333333,14
0.07300000000000001,0.11764705882352941,0.07142857142857142,0.3333333333333333,14
0.074,0.11764705882352941,0.07142857142857142,0.3333333333333333,14
0.075,0.11764705882352941,0.07142857142857142,0.3333333333333333,14
0.076,0.11764705882352941,0.07142857142857142,0.3333333333333333,14
0.077,0.11764705882352941,0.07142857142857142,0.3333333333333333,14
0.078,0.11764705882352941,0.07142857142857142,0.3333333333333333,14
0.079,0.11764705882352941,0.07142857142857142,0.3333333333333333,14
0.08,0.11764705882352941,0.07142857142857142,0.3333333333333333,14
0.081,0.11764705882352941,0.07142857142857142,0.3333333333333333,14
0.082,0.11764705882352941,0.07142857142857142,0.3333333333333333,14
0.083,0.11764705882352941,0.07142857142857142,0.3333333333333333,14
0.084,0.11764705882352941,0.07142857142857142,0.3333333333333333,14
0.085,0.125,0.07692307692307693,0.3333333333333333,13
0.08600000000000001,0.125,0.07692307692307693,0.3333333333333333,13
0.08700000000000001,0.125,0.07692307692307693,0.3333333333333333,13
0.08800000000000001,0.13333333333333333,0.08333333333333333,0.3333333333333333,12
0.089,0.13333333333333333,0.08333333333333333,0.3333333333333333,12
0.09,0.14285714285714285,0.09090909090909091,0.3333333333333333,11
0.091,0.14285714285714285,0.09090909090909091,0.3333333333333333,11
0.092,0.14285714285714285,0.09090909090909091,0.3333333333333333,11
0.093,0.14285714285714285,0.09090909090909091,0.3333333333333333,11
0.094,0.14285714285714285,0.09090909090909091,0.3333333333333333,11
0.095,0.14285714285714285,0.09090909090909091,0.3333333333333333,11
0.096,0.14285714285714285,0.09090909090909091,0.3333333333333333,11
0.097,0.14285714285714285,0.09090909090909091,0.3333333333333333,11
0.098,0.14285714285714285,0.09090909090909091,0.3333333333333333,11
